"Code","Definition"
"U-42","ADJUVANT TREATMENT IN COMBINATION WITH FLUOROURACIL AFTER SURGICAL RESECTION IN PATIENTS WITH DUKES' STAGE C COLON CANCER"
"U-43","MANAGEMENT OF CHRONIC PAIN IN PATIENTS REQUIRING OPIOID ANALGESIA"
"U-44","RELIEF OF NAUSEA AND VOMITING"
"U-45","TREATMENT OF INFLAMMATION AND ANALGESIA"
"U-46","TREATMENT OF PANIC DISORDER"
"U-47","STIMULATION OF THE RELEASE OF GROWTH HORMONE"
"U-48","ANALGESIA"
"U-49","SYMPTOMATIC CANCER-RELATED HYPERCALCEMIA"
"U-50","USE IN TREATING INFLAMMATORY DERMATOSES"
"U-51","BLOOD POOL IMAGING, INCLUDING CARDIAC FIRST PASS AND GATED EQUILIBRIUM IMAGING AND FOR DETECTION OF SITES OF  GASTROINTESTINAL BLEEDING"
"U-52","TREATMENT OF ADULT AND PEDIATRIC PATIENTS(OVER SIX MONTHS OF AGE) WITH ADVANCED HIV INFECTION"
"U-53","HYPERCALCEMIA OF MALIGNANCY"
"U-54","REVERSAL AGENT OR ANTAGONIST OF NONDEPOLARIZING NEUROMUSCULAR BLOCKING AGENTS"
"U-55","TREATMENT OF PAIN"
"U-56","AID TO SMOKING CESSATION"
"U-57","OPHTHALMIC USE OF NORFLOXACIN"
"U-58","METHOD OF TREATING INFLAMMATORY INTESTINAL DISEASES"
"U-59","METHOD OF TREATING HYPERCHOLESTEROLEMIA"
"U-60","NASAL ADMINISTRATION OF BUTORPHANOL"
"U-61","CEREBRAL AND PERIPHERAL ARTERIOGRAPHY AND CT IMAGING OF THE HEAD"
"U-62","CORONARY ARTERIOGRAPHY, LEFT VENTRICULOGRAPHY, CT IMAGING OF THE BODY, INTRAVENOUS EXCRETORY UROGRAPHY, INTRAVENOUS DIGITAL SUBTRACTION ANGIOGRAPHY AND VENOGRAPHY"
"U-63","ISOPRENALINE ANTAGONISM ON THE HEART RATE OR BLOOD PRESSURE"
"U-64","TREATMENT OF VIRAL INFECTIONS"
"U-65","METHOD OF TREATMENT OF A PATIENT INFECTED WITH HIV"
"U-66","TRIPHASIC REGIMEN"
"U-67","METHOD OF INDUCING ANESTHESIA IN A WARM BLOODED ANIMAL"
"U-68","TREATMENT OF ACTINIC KERATOSIS"
"U-69","TREATMENT OF PNEUMOCYSTIS CARINII INFECTIONS"
"U-70","TREATMENT OF TRANSIENT INSOMNIA"
"U-71","METHOD OF TREATMENT OF HEART FAILURE"
"U-72","TREATMENT OF MIGRAINE"
"U-73","METHOD OF TREATING DISEASES OR INFECTIONS CAUSED BY MYCETES"
"U-74","METHOD OF PROVIDING HYPNOTIC EFFECT"
"U-75","RELIEF OF OCULAR ITCHING DUE TO SEASONAL ALLERGIC CONJUNCTIVITIS"
"U-76","USE TO IMAGE A SUBJECT WITH A MAGNETIC RESONANCE IMAGING SYSTEM"
"U-77","TREATMENT OF SYMPTOMS OF SEASONAL ALLERGIC RHINITIS"
"U-78","ULCERATIVE COLITIS"
"U-79","SYMPTOMATIC TREATMENT OF PATIENTS WITH NOCTURNAL HEARTBURN DUE TO GERD"
"U-80","METHOD OF TREATING OCULAR BACTERIAL INFECTIONS"
"U-81","RELIEF OF SYMPTOMS ASSOCIATED WITH SEASONAL ALLERGIC RHINITIS"
"U-82","TREATMENT FOR DEMENTIA IN PATIENTS WITH ALZHEIMER'S DISEASE"
"U-83","TREATMENT OF SEIZURES"
"U-84","A METHOD OF BLOCKING THE UPTAKE OF MONOAMINES BY BRAIN NEURONS IN ANIMALS"
"U-85","NASAL TREATMENT OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS SYMPTOMS"
"U-86","METHOD OF TREATING CERTAIN FORMS OF EPILEPSY"
"U-87","METHOD FOR NONINVASIVE ADMINISTRATION OF SEDATIVES, ANALGESICS, AND ANESTHETICS"
"U-88","TREATMENT OF MODERATE PLAQUE PSORIASIS"
"U-89","TREATMENT OR PROPHYLAXIS OF EMESIS"
"U-90","TREATMENT OF PSYCHOTIC DISORDERS"
"U-91","ALTERNATIVE THERAPY TO TRIMETHOPRIM-SULFAMETHOXAZOLE FOR TREATMENT OF MODERATE-TO-SEVERE PNEUMOCYSTIS CARINII PNEUMONIA IN IMMUNOCOMPROMISED AND AIDS PATIENTS"
"U-92","TREATMENT OF DIABETIC NEPHROPATHY IN PATIENTS WITH TYPE I INSULIN DEPENDENT DIABETES MELLITUS AND RETINOPATHY"
"U-93","USE AS AN ANTIHISTAMINE/DECONGESTANT"
"U-94","TREATMENT-ADULTS W/ ADVANCED HIV,INTOLERANT OF APPROVED THERAPIES,INTOLERANT OF APPROVED THERAPIES W/PROVEN BENEFIT OR HAVE EXPERIENCED CLINICAL/IMMUNOLOGICAL DETERIORATION WHILE RECEIVING..OR FOR WHOM SUCH THERAPIES-CONTRAINDICATED"
"U-95","SHORT TERM MANAGEMENT OF MODERATE PRURITIS IN ADULTS WITH ATOPIC DERMATITIS AND LICHEN SIMPLEX CHRONICUS"
"U-96","METHOD OF TREATING VARICELLA ZOSTER (SHINGLES) INFECTIONS"
"U-97","A METHOD OF TREATING A PATIENT IN NEED OF MEMORY ENHANCEMENT"
"U-98","A METHOD OF INDUCING REGRESSION OF LEUKEMIA CELL GROWTH IN A MAMMAL"
"U-99","METHOD OF PROVIDING POTASSIUM TO A SUBJECT IN NEED OF POTASSIUM"
"U-100","METHOD OF TREATING OCULAR INFLAMMATION"
"U-101","ADJUNCT TO CONVENTIONAL CT OR MRI IMAGING IN THE LOCALIZATION OF STROKE IN PATIENTS IN WHOM STROKE HAS ALREADY BEEN DIAGNOSED"
"U-102","METHOD OF HORMONALLY TREATING MENOPAUSAL OR POST-MENOPAUSAL DISORDERS IN WOMEN"
"U-103","TREATMENT OF OCULAR HYPERTENSION"
"U-104","TREATMENT OF AQUEOUS HUMOR FORMATION AND INTRAOCULAR PRESSURE"
"U-105","EMESIS"
"U-106","TREATMENT OF EPILEPSY"
"U-107","TREATMENT OF HYPERTENSION AND ANGINA PECTORIS"
"U-108","SHORT-TERM TREATMENT OF ACTIVE DUODENAL ULCER, GASTROESOPHAGEAL REFLUX DISEASE (GERD), SEVERE EROSIVE ESOPHAGITIS, POORLY RESPONSIVE SYMPTOMATIC GERD AND PATHOLOGIAL HYPERSECRETORY CONDITIONS AND MAINTENANCE HEALING OF EROSIVE ESOPHAGITIS"
"U-109","ADJUNCT DIET IN THE TX OF ELEVATED TOTAL CHOLESTEROL AND LDL-C LEVELS IN PTS W/PRIMARY HYPERCHOLESTEROLEMIA WHOSE RESPONSE TO DIETARY RESTRICTION OF SAT FAT AND CHOLESTEROL AND OTHER NONPHARMACOLOGICAL MEASURES HAS NOT BEEN ADEQUATE"
"U-110","USE AS A RETRIEVABLE PESSARY"
"U-111","DIABETES"
"U-112","CONTRACEPTION"
"U-113","METHOD OF CONDUCTING RADIOLOGICAL EXAMINATION OF A PATIENT BY ADMINISTERING TO SAID PATIENT A RADIOPAQUE AMOUNT OF IOPROMIDE"
"U-114","USE FOR INHIBITING BONE RESORPTION"
"U-115","USE OF VASODILATORS TO EFFECT AND ENHANCE AN ERECTION (AND THUS TREAT ERECTILE DYSFUNCTION), BY INJECTION INTO THE PENIS"
"U-116","METHOD OF MYOCARDIAL IMAGING"
"U-117","TREATMENT OF OCULAR ALLERGIC RESPONSE IN HUMAN EYES"
"U-118","METHOD OF LOWERING BLOOD SUGAR LEVEL"
"U-119","TREATMENT OF NASAL HYPERSECRETION"
"U-120","CONTROLLING OR PREVENTING POST-OPERATIVE INTRAOCULAR PRESSURE RISES ASSOCIATED WITH OPHTHALMIC LASER SURGICAL PROCEDURES"
"U-121","METHOD OF TREATING CONDITIONS MEDIATED THROUGH HISTAMINE H2-RECEPTORS"
"U-122","A THERAPEUTIC METHOD FOR CONTROLLING THROMBOSIS"
"U-123","METHOD FOR CONTROLLING THROMBOSIS AND DECREASING BLOOD HYPERCOAGULATION AND HEMORRHAGING RISKS"
"U-124","TREATMENT OF ACNE"
"U-125","TREATMENT NEUROGENERATIVE DISEASES"
"U-126","TREATMENT OF GASTRITIS"
"U-127","METHOD OF PRODUCING NEUROMUSCULAR BLOCKADE"
"U-128","METHOD FOR TREATMENT OF TUMORS"
"U-129","METHOD TO DESTROY OR IMPAIR TARGET CELLS"
"U-130","MANAGEMENT OF PATIENTS WITH MASTOCYTOSIS"
"U-131","PHOTODAMAGED SKIN"
"U-132","INHIBITING HIV PROTEASE"
"U-133","MANAGEMENT OF OBESITY INCLUDING WEIGHT LOSS AND MAINTENANCE IN PATIENTS ON A REDUCED-CALORIE DIET"
"U-134","TREATMENT OF ACNE VULGARIS"
"U-135","ANTITUMOR AGENT"
"U-136","PROCESS FOR WASTE NITROGEN REMOVAL"
"U-137","METHOD OF TREATING BACTERIAL VAGINOSIS"
"U-138","TREATMENT OF ALLERGIC RHINITIS"
"U-139","TREATMENT OF ALLERGIC REACTIONS"
"U-140","USE OF NORVIR TO INHIBIT HIV PROTEASE OR TO INHIBIT AN HIV INFECTION"
"U-141","TREATMENT OF ULCERATIVE COLITIS"
"U-142","METHOD OF TREATING ALLERGIC REACTIONS IN A MAMMAL BY USING THIS ACTIVE METABOLITE"
"U-143","BIODEGRADABLE SUPERPARAMAGNETIC METAL OXIDES AS CONTRAST AGENTS FOR MR IMAGING"
"U-144","BIOLOGICALLY DEGRADABLE SUPERPARAMAGNETIC MATERIALS FOR USE IN CLINICAL APPLICATIONS"
"U-145","BIOLOGICALLY DEGRADABLE SUPERPARAMAGNETIC PARTICLES FOR USE AS NUCLEAR MAGNETIC RESONANCE IMAGING AGENTS"
"U-146","METHOD OF TREATING SUSCEPTIBLE NEOPLASMS IN MAMMALS"
"U-147","DETECTION OF GASTROINTESTINAL DISORDERS AND THE SUBSEQUENT BREATH COLLECTION AND MEASUREMENT OF 13CO2"
"U-148","DEVICE FOR COLLECTING A BREATH SAMPLE"
"U-149","METHOD OF TREATING AN ANIMAL, INCLUDING A HUMAN SUFFERING FROM OR SUSCEPTIBLE TO PSYCHOSIS, ACUTE MANIA OR MILD ANXIETY STATES"
"U-150","METHOD OF USE FOR CONTROLLING HYPERGLYCEMIA BY ADMINISTRATION OF THIS SUSTAINED RELEASE DOSAGE FORM OF GLIPIZIDE"
"U-151","RELIEF OF SYMPTOMS OF THE COMMON COLD"
"U-152","METHOD OF TREATING ANXIETY RELATED DISORDERS INCLUDING OBSESSIVE COMPULSIVE DISORDER"
"U-153","TREATMENT OF INITIAL EPISODE GENITAL HERPES"
"U-154","METHOD OF TREATING ANIMALS SUFFERING FROM AN APPETITE DISORDER"
"U-155","TREATMENT OF ERECTILE DYSFUNCTION"
"U-156","METHOD OF PROVIDING ANESTHESIA"
"U-157","TREATMENT OF A HUMAN SUFFERING FROM VITAMIN B12 DEFICIENCY"
"U-158","ANGINA"
"U-159","TREATMENT OF INTERSTITIAL CYSTITIS"
"U-160","TREATMENT OF BACTERIAL INFECTIOUS DISEASE"
"U-161","METHOD OF INHIBITING CHOLESTEROL BIOSYNTHESIS IN A PATIENT"
"U-162","METHOD OF USE TO INHIBIT CHOLESTEROL SYNTHESIS IN A HUMAN SUFFERING FROM HYPERCHOLESTEROLEMIA"
"U-163","METHOD OF USING TROGLITAZONE TO TREAT IMPAIRED GLUCOSE TOLERANCE TO PREVENT OR DELAY THE ONSET OF NONINSULIN-DEPENDENT DIABETES MELLITUS"
"U-164","METHOD OF USING TROGLITAZONE TO PREVENT OR DELAY THE ONSET OF NONINSULIN-DEPENDENT DIABETES MELLITUS IN A DEFINED POPULATION OF PATIENTS"
"U-165","TREATMENT OF SYMPTOMATIC BENIGN PROSTATIC HYPERPLASIA"
"U-166","TREATMENT OF H.PYLORI-ASSOCIATED DUODENAL ULCER"
"U-167","METHOD FOR TREATING HIV-1 INFECTION"
"U-168","METHOD OF INHIBITING LIPOXYGENASE ACTIVITY IN A MAMMAL WHICH IS THE MODE OF ACTION IN THE TREATMENT OF ASTHMA"
"U-169","METHODS OF USING THE COMPOUND/DRUG PRODUCT AS A CONTRAST AGENT IN MAGNETIC RESONANCE IMAGING"
"U-170","METHOD OF OBTAINING AN MR IMAGE USING THE COMPOSITION/DRUG PRODUCT AS A CONTRAST AGENT"
"U-171","METHODS OF USING THE COMPOUND/DRUG PRODUCT AS AN ORAL CONTRAST AGENT IN MAGNETIC RESONANCE IMAGING OF THE GASTROINTESTINAL TRACT"
"U-172","TREATMENT OF GENITAL WARTS"
"U-173","ADMINISTRATION TO A HOST SUFFERING FROM GESTATIONAL DIABETES"
"U-174","USE AS AN ANTIHISTAMINE AGENT"
"U-175","METHOD OF TREATING MALIGNANT TUMORS"
"U-176","METHOD OF TREATING A PATIENT SUFFERING FROM LISTED CONDITIONS, INCLUDING SPECIFIC PSYCHOSES"
"U-177","FUNGICIDE"
"U-178","FACILITATED ADHERENCE OF AGENTS TO SKIN"
"U-179","ENHANCED CUTANEOUS PENETRATION OF A DERMALLY-APPLIED PHARMACOLOGICALLY ACTIVE AGENT"
"U-180","TREATMENT OF ADULT AND PEDIATRIC PATIENTS (OVER 6 MONTHS OF AGE) WITH ADVANCED HIV INFECTION"
"U-181","PRODUCING ALPHA ADRENERGIC ANTAGONISTIC ACTION IN A HOST"
"U-182","USE OF SALMETEROL IN PATIENTS WITH REVERSIBLE AIRWAY OBSTRUCTION"
"U-183","TREATMENT OF CONDITIONS CAUSED BY DISTURBANCE OF NEURONAL 5HT FUNCTION"
"U-184","TREATING ALLERGIC EYE DISEASES IN HUMANS"
"U-185","METHOD OF TREATING HYPERTENSION"
"U-186","METHOD FOR TREATING GI DISORDERS CAUSED BY H. PYLORI WHICH COMPRISES ADMINISTRATION OF RANITIDINE BISMUTH CITRATE AND CLARITHROMYCIN FOR A GREATER THAN ADDITIVE EFFECT"
"U-187","THERAPEUTIC TREATMENT OF CALCIFIC TUMORS"
"U-188","TREATMENT OF H.PYLORI ASSOCIATED DUODENAL ULCER"
"U-189","ENHANCEMENT OF THE BIOAVAILABILITY OF THE DRUG SUBSTANCE"
"U-190","USE OF RITONAVIR IN COMBINATION WITH ANY REVERSE TRANSCRIPTASE INHIBITOR"
"U-191","METHOD OF TREATMENT FOR CONTROLLING AND LOWERING INTRAOCULAR PRESSURE IN A HUMAN"
"U-192","USE IN TREATING ALLERGIC REACTIONS"
"U-193","PSORIASIS"
"U-194","TREATING ANGINA PECTORIS AND HIGH BLOOD PRESSURE"
"U-195","METHOD FOR THE DIAGNOSIS OF GASTROINTESTINAL DISORDERS BY UREA ISOTOPE OR NITROGEN LABELED CARBON"
"U-196","TREATMENT OF METASTATIC BREAST CANCER IN POSTMENOPAUSAL WOMEN WITH ESTROGEN RECEPTOR POSITIVE TUMORS"
"U-197","USE IN COMBINATION WITH CERTAIN LHRH ANALOGUES FOR THE TREATMENT OF ADVANCED PROSTATE CANCER"
"U-198","TREATMENT METASTATIC CARCINOMA OF OVARY AFTER 1ST LINE FAILURE OR SUBSEQUENT CHEMOTHERAPY, TREATMENT OF BREAST CANCER AFTER FAILURE OF COMBINATION CHEMOTHERAPY FOR METASTATIC DISEASE AND 2ND LINE TREATMENT OF AIDS RELATED KAPOSI'S SARCOMA"
"U-199","METHOD OF TREATING INFECTIOUS UPPER GI TRACT DISORDERS CAUSED BY CAMPYLOBACTER PYLORIDIS INFECTION COMPRISING ADMINISTRATION OF A BISMUTH AGENT AND AN ANTIMICROBIAL AGENT"
"U-200","METHOD OF TREATING GI DISORDERS COMPRISING ADMINISTRATION OF A BISMUTH-CONTAINING AGENT AND H2 RECEPTOR BLOCKING ANTI-SECRETORY AGENT"
"U-201","METHOD OF TREATING GI DISORDERS COMPRISING ADMINISTRATION OF CAMPYLOBACTER-INHIBITING ANTIMICROBIAL AGENT AND H2 RECEPTOR BLOCKING ANTI-SECRETORY AGENT"
"U-202","METHOD OF TREATING PEPTIC ULCER DISEASE CAUSED BY CAMPYLOBACTER PYLORIDIS COMPRISING ORAL ADMINISTRATION OF 50 TO 5,000MG BISMUTH DAILY FOR 3-56 DAYS"
"U-203","TREATMENT OF ADVANCED BREAST CANCER IN POSTMENOPAUSAL WOMEN WITH DISEASE PROGRESSION FOLLOWING ANTIESTROGEN THERAPY"
"U-204","USE OF TAXOL IN COMBINATION WITH G-CSF FOR TREATMENT OF PATIENTS WITH AIDS-RELATED KAPOSI'S SARCOMA"
"U-205","METHOD FOR TREATING HEARTBURN"
"U-206","METHOD OF USING FSH ALONE, WITHOUT THE PRESENCE OF EXOGENEOUS LH, IN IN VITRO FERTILIZATION"
"U-207","USE AS NASAL SPRAY"
"U-208","VAGINAL ADMINISTRATION USING SPECIFIED FORMULATION"
"U-209","VAGINAL ADMINISTRATION OF PROGESTERONE USING SPECIFIED FORMULATION"
"U-210","METHOD OF TREATING CONGESTIVE HEART FAILURE"
"U-211","USE IN PATIENTS WITH REVERSIBLE AIRWAY OBSTRUCTION"
"U-212","METHOD OF TREATMENT OF PARKINSON'S DISEASE"
"U-213","METHOD OF INHIBITING CHOLESTEROL BIOSYNTHESIS AND TREATING HYPERCHOLESTEROLEMIA AND METHOD FOR TREATING HYPERLIPIDEMIA"
"U-214","USE AS A BLOOD GLUCOSE-LOWERING AGENT"
"U-215","TREATMENT OF EPILEPSY TWICE DAILY. TREATING A PATIENT BY ADMINISTERING CARBAMAZEPINE IN A DOSAGE FORM CAPABLE OF MAINTAINING BLOOD CONCENTRATION FROM 4-12MCG/ML OVER 12 HOURS"
"U-216","TREATMENT OF ADENOCARCINOMA, INCLUDING STAGE B2-C BY ADMINISTERING AN AGONIST OF LH-RH AND FLUTAMIDE"
"U-217","METHOD OF PRODUCING ANESTHESIA"
"U-218","METHOD FOR LIMITING THE POTENTIAL FOR MICROBIAL GROWTH IN THE DRUG PRODUCT"
"U-219","TREATMENT OF PARKINSON'S DISEASE"
"U-220","METHOD OF DIAGNOSIS"
"U-221","SELECTIVE VASODILATION BY CONTINUOUS ADENOSINE INFUSION"
"U-222","METHOD OF TREATING PAGET'S DISEASE USING ACTONEL"
"U-223","TREATMENT OF BACTERIAL CONJUNCTIVITIS CAUSED BY SUSCEPTIBLE STRAINS OF MICROORGANISMS"
"U-224","CONTROLLING INTRAOCULAR PRESSURE"
"U-225","METHOD FOR DELIVERY"
"U-226","METHOD OF ENHANCING THE DISSOLUTION PROFILE OF A PHARMACEUTICAL FROM A SOLID DOSAGE FORM CONTAINING THE PHARMACEUTICAL AND SIMETHICONE"
"U-227","NASAL ADMINISTRATION"
"U-228","ASTHMA"
"U-229","CARDIAC INSUFFICIENCY (CONGESTIVE HEART FAILURE)"
"U-230","PREVENTION OF ACUTE CARDIAC ISCHEMIC EVENTS"
"U-231","USE IN PARKINSON'S DISEASE"
"U-232","METHOD OF TREATING MIGRAINE"
"U-233","DECREASING MORTALITY CAUSED BY CONGESTIVE HEART FAILURE"
"U-234","METHOD OF USING RIBAVIRIN TO TREAT VIRAL INFECTIONS IN MAMMALS"
"U-235","METHOD OF MODULATING TH1 AND TH2 RESPONSE IN ACTIVATED T CELLS OF A HUMAN COMPRISING ADMINISTERING RIBAVIRIN TO THE T CELLS IN A DOSAGE WHICH PROMOTES THE TH1 RESPONSE AND SUPPRESSES THE TH2 RESPONSE"
"U-236","TREATING MALE PATTERN BALDNESS WITH 0.05 TO 3.0MG/DAY"
"U-237","METHOD OF PERFORMING NMR IMAGING WITH A PATIENT COMPRISING ADMINISTERING TO THE PATIENT AN EFFECTIVE AMOUNT OF CONTRAST AGENT DISCLOSED IN THE CLAIMS"
"U-238","IMAGING A BODY TISSUE AND SUBJECTING TO NMR TOMOGRAPHY, ADMINISTERING AN AMOUNT OF PHARMACEUTICAL AGENT FOR AFFECTING THE RELAXATION TIMES OF ATOMS IN BODY TISSUES UNDERGOING NMR DIAGNOSIS, WHEREBY THE IMAGE CONTRAST IN ENHANCED...."
"U-239","TREATING OR CONTROLLING OCULAR INFLAMMATION WHICH COMPRISES TOPICALLY ADMINISTERING TO AFFECTED EYE A COMPOSITION COMPRISING AN NSAID, A POLYMERIC QUATERNARY AMMONIUM COMPOUND AND BORIC ACID"
"U-240","TREATMENT OF ACUTE MIGRAINE ATTACKS"
"U-241","FOR SHORT-TERM TREATMENT ACTIVE DUODENAL ULCER, MAINTENANCE THERAPY FOR DUODENAL ULCER PATIENTS AT REDUCED DOSAGE AFTER HEALING OF ACTIVE ULCER, SHORT-TERM TREATMENT ACTIVE BENIGN GASTRIC ULCER & GERD, PATHOLOGICAL HYPERSECRETORY CONDITIONS"
"U-242","USE OF FOLLITROPIN ALPHA ALONE IN IN-VITRO FERTILIZATION"
"U-243","TOPICAL ADMINISTRATION"
"U-244","PLATELET AGGREGATION INHIBITORS"
"U-245","TREATMENT OF SEBORRHEA DERMATITIS IN HUMANS"
"U-246","PHOSPHATE BINDING"
"U-247","TREATMENT OF RHEUMATOID ARTHRITIS"
"U-248","TREATMENT OF HIV"
"U-249","METHOD OF TREATING ALLERGIC OR NON-ALLERGIC RHINITIS IN PATIENTS BY ADMINISTERING AEROSOLIZED PARTICLES OF MOMETASONE FUROATE"
"U-250","TREATMENT OF HEPATITIS B INFECTION"
"U-251","USE OF TROGLITAZONE IN COMBINATION WITH SULFONYLUREAS IN THE TREATMENT OF TYPE II DIABETES"
"U-252","METHOD OF TREATING A HUMAN SUBJECT HAVING GAUCHER'S DISEASE"
"U-253","ORAL TRANSMUCOSAL USE"
"U-254","USE OF AGGRASTAT IN COMBINATION WITH HEPARIN"
"U-255","IMPROVED WAKEFULNESS IN PATIENTS WITH EXCESSIVE DAYTIME SLEEPINESS ASSOCIATED WITH NARCOLEPSY"
"U-256","TREATMENT OF HIV INFECTION IN COMBINATION WITH ONE OR MORE ADDITIONAL HIV ANTIVIRAL AGENTS"
"U-257","TREATMENT OF HIV INFECTION"
"U-258","TREATMENT OF NEURODEGENERATIVE DISEASES"
"U-259","TREATMENT OF ANDROGENIC ALOPECIA BY ORAL ADMINISTRATION DRUG SUBSTANCE"
"U-260","REDUCTION OF INTRAOCULAR PRESSURE IN PATIENTS WITH OPEN ANGLE GLAUCOMA AND OCULAR HYPERTENSION WHO ARE INTOLERANT OF OTHER IOP LOWERING MEDICATIONS OR INSUFFICIENTLY RESPONSIVE TO ANOTHER IOP LOWERING MEDICATION"
"U-261","TREATING BENIGN PROSTATIC HYPERPLASIA WITH A GENUS OF COMPOUNDS, INCLUDING FINASTERIDE"
"U-262","TREATING BENIGN PROSTATIC HYPERTROPHY WITH FINASTERIDE"
"U-263","METHOD OF TREATING A MALIGNANT CONDITION THROUGH INTRAVASCULAR ADMINISTRATION OF BUSULFAN. METHOD FOR TREATING LEUKEMIA OR LYMPHOMA IN A PATIENT UNDERGOING A BONE MARROW TRANSPLANT THROUGH INTRAVENOUS ADMINISTRATION OF BUSULFAN"
"U-264","METHOD OF TREATING A MALIGNANT DISEASE THROUGH PARENTERAL ADMINISTRATION OF BUSULFAN. METHOD FOR TREATING A PATIENT UNDERGOING A BONE MARROW TRANSPLANT THROUGH INTRAVASCULAR ADMINISTRATION OF BUSULFAN"
"U-265","USE AS LAXATIVE"
"U-266","RELIEF OF THE SIGNS AND SYMPTOMS OF OSTEOARTHRITIS; RELIEF OF THE SIGNS AND SYMPTOMS OF RHEUMATOID ARTHRITIS IN ADULTS; MANAGEMENT OF ACUTE PAIN IN ADULTS; TREATMENT OF PRIMARY DYSMENORRHEA; ACUTE TREATMENT OF MIGRAINE ATTACKS IN ADULTS"
